item_id,train_id,anime_title
241,0,Girls Bravo: First Season
650,1,Gunsmith Cats
8074,2,Highschool of the Dead
142,3,Kamikaze Kaitou Jeanne
252,4,Madlax
76,5,Mahou Shoujo Lyrical Nanoha
77,6,Mahou Shoujo Lyrical Nanoha A's
272,7,Noir
4063,8,Sekirei
5279,9,Sekirei: Hajimete no Otsukai
4581,10,Shikabane Hime: Aka
5034,11,Shikabane Hime: Kuro
6344,12,"Shikabane Hime: Kuro – Soredemo, Hito to Shite"
534,13,Slayers
535,14,Slayers Next
1170,15,Slayers Special
5958,16,Sora no Otoshimono
8407,17,Sora no Otoshimono: Forte
7858,18,Sora no Otoshimono: Project Pink
48,19,.hack//Sign
5525,20,07-Ghost
1292,21,Afro Samurai
4970,22,Afro Samurai: Resurrection
101,23,Air
857,24,Air Gear
3791,25,Air Gear Special
47,26,Akira
3359,27,Amatsuki
282,28,Angel Heart
5421,29,Ark
586,30,Ayakashi: Japanese Classic Horror
104,31,Ayashi no Ceres
2251,32,Baccano!
3901,33,Baccano! Specials
2986,34,Bamboo Blade
67,35,Basilisk: Kouga Ninpou Chou
5675,36,Basquash!
404,37,Bastard!! Ankoku no Hakaishin
368,38,Bible Black
972,39,Bible Black Gaiden
1401,40,Bible Black: New Testament
1498,41,Black Blood Brothers
68,42,Black Cat (TV)
2589,43,Black Cat (TV): Toozakaru Neko
2213,44,Black Jack (TV)
4071,45,Black Jack (TV): Hizouban Specials
2214,46,Black Jack 21
1373,47,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki
4070,48,Black Jack: Dr. Pinoko no Mori no Bouken
6246,49,Black Jack: Sora kara Kita Kodomo
889,50,Black Lagoon
1519,51,Black Lagoon: The Second Barrage
4151,52,Blade of the Immortal
150,53,Blood+
405,54,Blood: The Last Vampire
58,55,Blue Gender
1380,56,Blue Gender: The Warrior
3389,57,Bus Gamer
1536,58,Busou Renkin
1689,59,Byousoku 5 Centimeter
5356,60,Canaan
2043,61,Cat's Eye
60,62,Chrno Crusade
1818,63,Claymore
1575,64,Code Geass: Hangyaku no Lelouch
2904,65,Code Geass: Hangyaku no Lelouch R2
5163,66,Code Geass: Hangyaku no Lelouch R2 Picture Drama
8142,67,Colorful (Movie)
5941,68,Cross Game
4690,69,Cyborg 009 (1979)
7336,70,Cyborg 009: Chou Ginga Densetsu
1678,71,Cyborg 009: The Cyborg Soldier
1482,72,D.Gray-man
61,73,D.N.Angel
8915,74,Dantalian no Shoka
1535,75,Death Note
5348,76,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab
779,77,Detective Conan Movie 01: The Timed Skyscraper
780,78,Detective Conan Movie 02: The Fourteenth Target
781,79,Detective Conan Movie 03: The Last Wizard of the Century
